Sequence	BIPA
L\_0	ʟ̥
G	ɣ
G_w[?]	ɣʷ
G^0	ɣ̊
x	x
x_>	xʼ
x_w[?]	xʷ
g_<	ɠ
N	ŋ
N:	ŋː
N_w[?]	ŋʷ
N=	ŋ̍
N^0	ŋ̊
g_h\	gʱ
g_h	gʰ
g	g
g^0_h	g̊ʰ
k_v	k̬
g:	gː
g_w[?]	gʷ
g_j	gʲ
_ng	ⁿg
g^0	g̊
k	k
k_h	kʰ
k:	kː
k_>	kʼ
k_w[?]	kʷ
k_w[?]_h	kʷʰ
k_w[?]:	kʷː
k_>_w[?]	kʼʷ
k_j	kʲ
_hk	ʰk
_nk	ⁿk
_nk_w[?]	ⁿkʷ
k_}	k̚
a	a
a:	aː
a:\	aˑ
a`	a˞
a~	ã
a~:	ãː
a_X	ă
a_0	ḁ
a_^	a̯
a_k	a̰
a_k::	a̰ːː
e	e
e:	eː
e::	eːː
e:\	eˑ
e~	ẽ
e~:	ẽː
e_X	ĕ
e_o	e̞
e_o:	e̞ː
A_+	ɑ̟
e_o:\	e̞ˑ
e_o~	ẽ̞
e_o~:	ẽ̞ː
e_b	e̤
e_0	e̥
e_^	e̯
e_k	ḛ
i	i
i:	iː
i::	iːː
i:\	iˑ
i~	ĩ
i~:	ĩː
i_b	i̤
i_0	i̥
i_k	ḭ
i_k:	ḭː
i_k::	ḭːː
o	o
o:	oː
o::	oːː
o:\	oˑ
o_?\	oˤ
o~	õ
o~:	õː
o_X	ŏ
o_o	o̞
o_o:	o̞ː
o_o~	õ̞
o_o~:	õ̞ː
o_b	o̤
o_0	o̥
o_^	o̯
o_k	o̰
u	u
u:	uː
u::	uːː
u:\	uˑ
u~	ũ
u~:	ũː
u_b	ṳ
u_0	u̥
u_k	ṵ
y	y
y:	yː
y::	yːː
y:\	yˑ
y~	ỹ
y~:	ỹː
{	æ
{:	æː
{::	æːː
{:\	æˑ
{~	æ̃
{~:	æ̃ː
{_k	æ̰
ø	ø
ø:	øː
ø::	øːː
ø:\	øˑ
ø~	ø̃
ø~:	ø̃ː
ø_o	ø̞
ø_o:	ø̞ː
ø_o~	ø̞̃
ø_o~:	ø̞̃ː
9	œ
9:	œː
9~	œ̃
9~:	œ̃ː
6	ɐ
6:	ɐː
6~	ɐ̃
6~:	ɐ̃ː
6_^	ɐ̯
A	ɑ
A:	ɑː
A~	ɑ̃
A~:	ɑ̃ː
Q	ɒ
Q:	ɒː
Q~	ɒ̃
Q~:	ɒ̃ː
O	ɔ
O:	ɔː
O~	ɔ̃
O~:	ɔ̃ː
O_k	ɔ̰
@\\	ɘ
@\\:	ɘː
@\\~	ɘ̃
@\\~:	ɘ̃ː
@	ə
@:	əː
@`	ə˞
@~	ə̃
