Sequence	BIPA
E~:	ɛ̃ː
ɨ_o~:	ɨ̞̃ː
u~:	ũː
O_c~:_+	ɔ̜̃ː̟
3\_c~:	ɞ̜̃ː
E~:i_^	ɛ̃ːi̯
a~E~	ãɛ̃
9~E~	œ̃ɛ̃
O~:	ɔ̃ː
t_d_>	t̪ʼ
qX\ˈ	qχ’
r_a	r̺
9_c:	œ̜ː
ae_^	ae̯
3\e_^	ɞe̯
}i_^	ʉi̯
yi_^	yi̯
t_-_j	t̠ʲ
d_-_j	d̠ʲ
n_-_j	n̠ʲ
4_j	ɾʲ
l_d_G	l̪ˠ
k_j_h	kʲʰ
k_j_h	kʲʰ
tS_w_w[?]_h	tʃʷʰ
tS_w_w[?]_h	tʃʷʰ
K\_a	ɮ̺
n_a	n̺
}:_+	ʉː̟
_ng	ⁿg
_nG\	ⁿɢ
_ndz	ⁿdz
_nd`z`	ⁿɖʐ
6i_^	ɐi̯
_np_h	ⁿpʰ
_nt_h	ⁿtʰ
_nts_h	ⁿtsʰ
_nc_h	ⁿcʰ
_ntS_w_h	ⁿtʃʰ
_nk_h	ⁿkʰ
M_r	ɯ̝
_ndz\	ⁿdʑ
_hts	ʰts
_nt`s`_h	ⁿʈʂʰ
Ma	ɯa
Mo	ɯo
_ht`	ʰʈ
_hc	ʰc
_nt`_h	ⁿʈʰ
_nd`	ⁿɖ
_nts\_h	ⁿtɕʰ
_ns_h	ⁿsʰ
_nx_h	ⁿxʰ
_hl_0	ʰl̥
_w[?]t	ʷt
_w[?]t`	ʷʈ
_w[?]k	ʷk
_w[?]ts	ʷts
_w[?]ts\	ʷtɕ
_w[?]s	ʷs
_w[?]s_h	ʷsʰ
_w[?]s`_h	ʷʂʰ
_w[?]s\_h	ʷɕʰ
_w[?]d	ʷd
_w[?]J\	ʷɟ
_w[?]z	ʷz
_w[?]z`	ʷʐ
_w[?]z\	ʷʑ
_w[?]m	ʷm
_w[?]l	ʷl
r\_0	ɹ̥
ue~	uẽ
tS_w_?\	tʃˤ
l_?\	lˤ
b_h\	bʱ
t_m	t̻
d_m_h\	d̻ʱ
d`_h\	ɖʱ
g_h\	gʱ
dZ_h\	dʒʱ
r`_h\	ɽʱ
a~:_"	ãː̈
a~:_"	ãː̈
d_d_h\	d̪ʱ
E_b	ɛ̤
a_b_"	ä̤
O_b	ɔ̤
@~:	ə̃ː
i_b~:	ĩ̤ː
E_b~:	ɛ̤̃ː
a_b~:_"	ã̤ː̈
@_b~:	ə̤̃ː
O_b~:	ɔ̤̃ː
u_b~:	ṳ̃ː
r`~	ɽ̃
7i	ɤi
u_-u	u̠u
E~u~	ɛ̃ũ
e~I~	ẽɪ̃
a~u~	ãũ
u~a~	ũã
I~@~	ɪ̃ə̃
i_^E	i̯ɛ
u_^O	u̯ɔ
{I_^	æɪ̯
OU_^	ɔʊ̯
a:I	aːɪ
AU_^	ɑʊ̯
{E	æɛ
uO:	uɔː
u~O~:	ũɔ̃ː
i~E~:	ĩɛ̃ː
{~I_^~	æ̃ɪ̯̃
O~U_^~	ɔ̃ʊ̯̃
u{	uæ
@o	əo
a:u	aːu
Eu	ɛu
iø	iø
uA~	uɑ̃
r\`_0	ɻ̥
dZ_h	dʒʰ
d`_h	ɖʰ
iI_^	iɪ̯
MI_^	ɯɪ̯
@\\_X	ɘ̆
8_X	ɵ̆
7_o_X	ɤ̞̆
s_d:	s̪ː
q_>	qʼ
tS_w_w[?]:	tʃʷː
tS_w\ˈ_w[?]	tʃ’ʷ
S_w_w[?]:	ʃʷː
k_w[?]:	kʷː
x_w[?]:	xʷː
q_>_w[?]	qʼʷ
q_w[?]:	qʷː
X_w[?]:	χʷː
3\_k	ɞ̰
z`_j	ʐʲ
s_-_a	s̠̺
ts_a	ts̺
ts_m	ts̻
l_a	l̺
4_a	ɾ̺
dz_m	dz̻
z_a	z̺
a~_"	ã̈
e_o~	ẽ̞
t_ms_m	t̻s̻
J_+	ɲ̟
M_+	ɯ̟
7_O_+	ɤ̹̟
c_+	c̟
J\_+	ɟ̟
7_r	ɤ̝
ɨ_O	ɨ̹
}_+	ʉ̟
8_+	ɵ̟
@\\_-	ɘ̠
ɨ_-	ɨ̠
k\ˈ_j	k’ʲ
q\ˈ_j	q’ʲ
t`s`\ˈ	ʈʂ’
H_?\	ɥˤ
ts\ˈ_w[?]	ts’ʷ
N_j	ŋʲ
u9	uœ
3\_-	ɞ̠
iE_-	iɛ̠
}3\_-	ʉɞ̠
}9_-	ʉœ̠
ɨa_"	ɨä
9:_-	œː̠
3\:_-	ɞː̠
r_a_0	r̺̥
t_d\ˈ_?\	t̪’ˤ
tS_w\ˈ_?\	tʃ’ˤ
t_d_h_?\	t̪ʰˤ
tS_w_h_?\	tʃʰˤ
p_h_?\	pʰˤ
ts_h_?\	tsʰˤ
Z_?\	ʒˤ
u:V	uːʌ
E_^{:	ɛ̯æː
Oa:	ɔaː
d_d_0	d̪̥
d_0_j	d̥ʲ
tK_>	tɬʼ
ts_w[?]_h	tsʷʰ
tK_w[?]_h	tɬʷʰ
tK\ˈ_w[?]	tɬ’ʷ
<\_w[?]	ʢʷ
H\_w[?]	ʜʷ
_nc	ⁿc
_nq	ⁿq
_nq_h	ⁿqʰ
_nts	ⁿts
_nt`s`	ⁿʈʂ
tK:	tɬː
ts\ˈ:	ts’ː
ts\ˈ:	ts’ː
tS_w_>:	tʃʼː
tK\ˈ:	tɬ’ː
tK\ˈ:	tɬ’ː
k\ˈ:	k’ː
g_w[?]:	gʷː
k\ˈ_w[?]:	k’ʷː
q\ˈ_w[?]:	q’ʷː
?~	ʔ̃
d_d_h	d̪ʰ
4_-	ɾ̠
t`_ms`_m	ʈ̻ʂ̻
d`_mz`_m	ɖ̻ʐ̻
s`_m	ʂ̻
z`_m	ʐ̻
@\\_+	ɘ̟
u_^~	ũ̯
i_^~	ĩ̯
d_a	d̺
a_"u_^	äu̯
Eu_^	ɛu̯
l_G:	lˠː
t_aS_w_a	t̺ʃ̺
d_aZ_a	d̺ʒ̺
Z_a	ʒ̺
I_^a_"	ɪ̯ä
I_^O	ɪ̯ɔ
I_^u_o	ɪ̯u̞
U_^O	ʊ̯ɔ
H_0	ɥ̥
@y	əy
t_d_m	t̪̻
d_d_m	d̪̻
s_d_m	s̪̻
z_d_m	z̪̻
t_d_ms_d_m	t̪̻s̪̻
t_mS_w_m	t̻ʃ̻
d_mZ_m	d̻ʒ̻
t_aS_w_a_w[?]	t̺ʃ̺ʷ
d_aZ_a_w[?]	d̺ʒ̺ʷ
l_d_h\	l̪ʱ
n_h\	nʱ
n`_h\	ɳʱ
t_ms\_m	t̻ɕ̻
t_ms\_m_h	t̻ɕ̻ʰ
d_mz\_m	d̻ʑ̻
d_mz\_m_h\	d̻ʑ̻ʱ
6_X	ɐ̆
r_h\	rʱ
cc_x	cç
cc_x_h	cçʰ
s_d_?\	s̪ˤ
z_d_?\	z̪ˤ
a_b	a̤
uo_o	uo̞
yø_o	yø̞
i{	iæ
t_a	t̺
U_c	ʊ̜
A_r_+	ɑ̝̟
o:\_+	oˑ̟
c_x_+	ç̟
M:\	ɯˑ
l_0_G	l̥ˠ
l_0_j	l̥ʲ
r_0_j	r̥ʲ
oa_"	oä
a_"i_^	äi̯
ɨi_^	ɨi̯
Ei_^	ɛi̯
@_X_+	ə̟̆
t_as_a	t̺s̺
U_c_"	ʊ̜̈
I_o_"	ɪ̞̈
U_o_"	ʊ̞̈
}_o	ʉ̞
K_G	ɬˠ
4_0_j	ɾ̥ʲ
ts_h:	tsʰː
tS_w_h:	tʃʰː
tK_h:	tɬʰː
qX_h	qχʰ
c_h:	cʰː
k_w[?]_h:	kʷʰː
t_a_h	t̺ʰ
t_a\ˈ	t̺’
q_a	q̺
t_as\_a	t̺ɕ̺
t_as\_a\ˈ	t̺ɕ̺’
o_o_c	o̞̜
kx_h:	kxʰː
kx\ˈ:	kx’ː
qX_h:	qχʰː
qX\ˈ:	qχ’ː
i_o~	ĩ̞
X\ˈ:	χ’ː
r_a_j	r̺ʲ
ɨ:_+	ɨː̟
7_+	ɤ̟
7:_+	ɤː̟
9_oE_o	œ̞ɛ̞
8:_+	ɵː̟
_nd_dz_d	ⁿd̪z̪
yi~	yĩ
i{~	iæ̃
y3	yɜ
u3	uɜ
uE~	uɛ̃
ua~	uã
s_j_h	sʲʰ
y_b	y̤
ø_b	ø̤
a_b~	ã̤
y_k	y̰
M_k	ɯ̰
ø_k	ø̰
ɨE	ɨɛ
dz_a	dz̺
l_a_G	l̺ˠ
@_O	ə̹
uV	uʌ
e_^a_"	e̯ä
o_^a_"	o̯ä
4_o	ɾ̞
J\j\\_o	ɟʝ̞
t_d_w[?]_h	t̪ʷʰ
t_d\ˈ_w[?]	t̪’ʷ
tT_w[?]_h	tθʷʰ
ts_d_w[?]	ts̪ʷ
ts_d\ˈ_w[?]	ts̪’ʷ
s_d_w[?]	s̪ʷ
z_d_w[?]	z̪ʷ
p\ˈ_j	p’ʲ
t_d\ˈ_j	t̪’ʲ
t_d_j_w[?]_h	t̪ʲʷʰ
t_d_j_w[?]	t̪ʲʷ
t_d\ˈ_j_w[?]	t̪’ʲʷ
ts_d\ˈ_j	ts̪’ʲ
tT_j_h	tθʲʰ
tT_j_w[?]_h	tθʲʷʰ
ts_d_j_w[?]	ts̪ʲʷ
ts_d\ˈ_j_w[?]	ts̪’ʲʷ
s_d_j_w[?]	s̪ʲʷ
k_j_w[?]	kʲʷ
k_j_w[?]_h	kʲʷʰ
k\ˈ_j_w[?]	k’ʲʷ
q_j_h	qʲʰ
q\ˈ_j_w[?]	q’ʲʷ
q_j_w[?]_h	qʲʷʰ
y_^ø	y̯ø
yø	yø
ie~	iẽ
ie~:	iẽː
_hp:	ʰpː
_ht:	ʰtː
_hts:	ʰtsː
_htS_w:	ʰtʃː
_hk:	ʰkː
B_j	βʲ
m_0_j	m̥ʲ
n_0_j	n̥ʲ
B:	βː
d_0:	d̥ː
b_0:	b̥ː
g_0:	g̥ː
m_0:	m̥ː
n_0:	n̥ː
l_0:	l̥ː
r_0:	r̥ː
B_j:	βʲː
f_j:	fʲː
b_j:	bʲː
m_j:	mʲː
m_0_j:	m̥ʲː
z_j:	zʲː
n_0_j:	n̥ʲː
l_0_j:	l̥ʲː
ts_j:	tsʲː
r_j:	rʲː
r_0_j:	r̥ʲː
g_j:	gʲː
N_j:	ŋʲː
d_0z_0	d̥z̥
d_0z\_0	d̥ʑ̥
d_0z_0_j	d̥z̥ʲ
_hts\	ʰtɕ
_hp_j	ʰpʲ
_ht_j	ʰtʲ
_hk_j	ʰkʲ
_hts_j	ʰtsʲ
o_oa_"	o̞ä
ua_"	uä
ue_o	ue̞
d_a_0	d̺̥
t_as_a_h	t̺s̺ʰ
d_a_0z_a_0	d̺̥z̺̥
t_as_a\ˈ	t̺s̺’
g_0_w[?]	g̥ʷ
3\_o_X	ɞ̞̆
t_as_a:	t̺s̺ː
A_r_O	ɑ̝̹
9_o:	œ̞ː
A_k:	ɑ̰ː
E_k:	ɛ̰ː
M_k:^x	ɯ̰ː̽
O_k:	ɔ̰ː
9_k:	œ̰ː
u_k:	ṵː
y_k:	y̰ː
ɨi	ɨi
_hp_h	ʰpʰ
_hk_h	ʰkʰ
_hq_h	ʰqʰ
_hs_h	ʰsʰ
d`_0z`_0	ɖ̥ʐ̥
_ht`s`_h	ʰʈʂʰ
d_0Z^0	d̥ʒ̊
_htS_w_h	ʰtʃʰ
_hts_h	ʰtsʰ
_hts\_h	ʰtɕʰ
yo	yo
i_z_O	ɿ̹
i_z_G	ɿˠ
i`_O	ʅ̹
MA	ɯɑ
y9	yœ
tS_w_a	tʃ̺
tS_w_a_h	tʃ̺ʰ
r\_a	ɹ̺
ɨ@	ɨə
oa	oa
@ɨ	əɨ
v\_=	ʋ̩
M_o	ɯ̞
p_h_G	pʰˠ
v_G	vˠ
t_d_h_G	t̪ʰˠ
N_+	ŋ̟
u:e	uːe
ø_o_c	ø̞̜
ø_o_c:	ø̞̜ː
z_d_j	z̪ʲ
i_^e	i̯e
r`_0	ɽ̥
ɨ_O:	ɨ̹ː
3_O	ɜ̹
3_O:	ɜ̹ː
i_z_k	ɿ̰
{:i	æːi
{:U	æːʊ
M@	ɯə
eI~	eɪ̃
aI~	aɪ̃
aU~	aʊ̃
oU~	oʊ̃
Ai_^	ɑi̯
Oi_^	ɔi̯
d_a_h\	d̺ʱ
dz_h\	dzʱ
n_d_h\	n̪ʱ
N_h\	ŋʱ
u~i~	ũĩ
dz_d_j	dz̪ʲ
Z_j:	ʒʲː
tS_w_j:	tʃʲː
S_w_j:	ʃʲː
_w[?]r	ʷr
7:\	ɤˑ
ɨa	ɨa
i~a~	ĩã
i~o~	ĩõ
J\_h	ɟʰ
eo	eo
oe	oe
a~o~	ãõ
n_h	nʰ
r`_h	ɽʰ
@~i~	ə̃ĩ
@~u~	ə̃ũ
N_h	ŋʰ
a~i~	ãĩ
@i~	əĩ
@u~	əũ
i`	i˞
e`	e˞
n_d_0	n̪̥
n_d_0	n̪̥
l_d_0	l̪̥
T_m	θ̻
Yi_^	ʏi̯
øI_^	øɪ̯
O_c~:	ɔ̜̃ː
t_dK	t̪ɬ
t_dK_>	t̪ɬʼ
u`	u˞
i_?\	iˤ
u_?\	uˤ
@_?\	əˤ
a_?\	aˤ
i`_?\	i˞ˤ
u`_?\	u˞ˤ
a`_?\	a˞ˤ
@`:	ə˞ː
a`:	a˞ː
i_?\:	iˤː
u_?\:	uˤː
a_?\:	aˤː
i`_?\:	i˞ˤː
u`_?\:	u˞ˤː
i_^e~	i̯ẽ
i_^a	i̯a
u_^o	u̯o
u_^a	u̯a
u_^o~	u̯õ
e_ou_^	e̞u̯
eu_^	eu̯
o_oi_^	o̞i̯
ui_^	ui̯
iu_^	iu̯
v\_j	ʋʲ
i_b:	i̤ː
ɨ_b	ɨ̤
e_b:	e̤ː
o_b:	o̤ː
E_bi_b	ɛ̤i̤
O_b:	ɔ̤ː
a_b:	a̤ː
i~e~	ĩẽ
o~a~	õã
p_w[?]_h	pʷʰ
E_b:	ɛ̤ː
V_b:	ʌ̤ː
dz_h	dzʰ
_nt_ds_d_h	ⁿt̪s̪ʰ
n_d_=	n̪̩
A`	ɑ˞
uA`	uɑ˞
dz\_h	dʑʰ
c_x_h	çʰ
aM~	aɯ̃
@M~	əɯ̃
e_kI_k	ḛɪ̰
a_kI_k	a̰ɪ̰
a_kM_k	a̰ɯ̰
@_kM_k	ə̰ɯ̰
t_ds	t̪s
d_dz	d̪z
V_?\:	ʌˤː
U_?\:	ʊˤː
o_?\:	oˤː
O_?\:	ɔˤː
3\Y_^	ɞʏ̯
a8_^	aɵ̯
s_>	sʼ
s\\ˈ	ɕ’
ai_^	ai̯
au_^	au̯
@i_^	əi̯
@u_^	əu̯
i_?\{	iˤæ
d_az_a	d̺z̺
s_a:	s̺ː
d_az_a:	d̺z̺ː
ai_^:	ai̯ː
a~I_^:	ãɪ̯ː
au:	auː
I~E	ɪ̃ɛ
IE:	ɪɛː
I~E:	ɪ̃ɛː
u~o	ũo
u~o:	ũoː
y~9	ỹœ
y9:	yœː
y~9:	ỹœː
Oy_^:	ɔy̯ː
D\ˈ	ð’
K\\ˈ	ɮ’
S_w_o	ʃ̞
S_w_o\ˈ	ʃ̞’
s_-_m	s̠̻
U_"i	ʊ̈i
t_d_a	t̪̺
d_d_a	d̪̺
u_q	u̙
o_o_q	o̞̙
A_q	ɑ̙
M_q	ɯ̙
i_A	i̘
i_^:	i̯ː
M_qi_^	ɯ̙i̯
u_^:	u̯ː
yu_^	yu̯
Ou_^	ɔu̯
e:i_^	eːi̯
o:u_^	oːu̯
a:u_^	aːu̯
øy_^	øy̯
ø:y_^	øːy̯
Q:i_^	ɒːi̯
a:i_^	aːi̯
A:i_^	ɑːi̯
E_?\	ɛˤ
t_-_h	t̠ʰ
d_-_h	d̠ʰ
o_^:	o̯ː
E`	ɛ˞
Mi	ɯi
M:i	ɯːi
u:i	uːi
@:i	əːi
a:M	aːɯ
u_b:	ṳː
B_=	β̩
@\\`	ɘ˞
i@\\	iɘ
@\\y	ɘy
@\\i	ɘi
@Q	əɒ
n_d_h	n̪ʰ
z_h	zʰ
z\_h	ʑʰ
o~:u	õːu
{~i	æ̃i
i^x	i̽
U^x	ʊ̽
6_+	ɐ̟
r\`_?\	ɻˤ
t`_j	ʈʲ
d`_j	ɖʲ
n`_j	ɳʲ
ts_w[?]	tsʷ
t`s`_w[?]	ʈʂʷ
r\`_j	ɻʲ
s`_j	ʂʲ
z`_w[?]	ʐʷ
gb	gb
!\_h	ǃʰ
||_h	ǁʰ
|\_h	ǀʰ
|\?	ǀʔ
||?	ǁʔ
!\?	ǃʔ
g_<b_<	ɠɓ
g!\	gǃ
g||	gǁ
g|\	gǀ
iɨ	iɨ
i_0:	i̥ː
y_0:	y̥ː
e_0:	e̥ː
ø_0:	ø̥ː
A_0:	ɑ̥ː
O_0:	ɔ̥ː
u_0:	u̥ː
M_0:	ɯ̥ː
ɨ~i~	ɨ̃ĩ
o~i~	õĩ
MV	ɯʌ
a~}~	ãʉ̃
a~e~	ãẽ
oɨ	oɨ
a:ɨ	aːɨ
uɨ	uɨ
ɨu	ɨu
@a	əa
ø_X	ø̆
{_b	æ̤
i_k~	ḭ̃
a_k:	a̰ː
e_k~	ḛ̃
ɨ_k~	ɨ̰̃
a_k~	ã̰
o_k~	õ̰
u_k~	ṵ̃
a~_+	ã̟
ts_>	tsʼ
ts_>	tsʼ
t_>	tʼ
t_>	tʼ
n_ds_d	n̪s̪
Ng	ŋg
tK_>	tɬʼ
tx	tx
kx_w[?]	kxʷ
nd\ˈ	nd’
Ng_w[?]	ŋgʷ
d_<\ˈ	ɗ’
D_o_j	ð̞ʲ
n_-d_-	n̠d̠
t\ˈ_j	t’ʲ
n\ˈ_j	n’ʲ
ts\ˈ_j	ts’ʲ
ts\ˈ_h	ts’ʰ
t\ˈ_h	t’ʰ
ts\ˈ_w[?]	ts’ʷ
dz_w[?]	dzʷ
s_>	sʼ
r_d_j	r̪ʲ
tp	tp
4_h\	ɾʱ
r`_h\	ɽʱ
n_d_h\	n̪ʱ
l_d_?\	l̪ˤ
4_?\	ɾˤ
tc_x	tç
tc_x_h	tçʰ
nz	nz
K_>	ɬʼ
f_w[?]	fʷ
tK\ˈ_h	tɬ’ʰ
Q_r	ɒ̝
nt_>	ntʼ
nts_>	ntsʼ
cs\_h	cɕʰ
kp_w[?]	kpʷ
4_k	ɾ̰
kp_h	kpʰ
mb_j	mbʲ
t\ˈ_j_h	t’ʲʰ
n_-z\	n̠ʑ
l\ˈ_0	l’̥
mb_w[?]	mbʷ
n_h\	nʱ
d_h\z_h\	dʱzʱ
n\ˈ_0	n’̥
n`d`	ɳɖ
B_o_G	β̞ˠ
n_ddz_d	n̪dz̪
n_dz_d	n̪z̪
nd_j	ndʲ
Nk_w[?]	ŋkʷ
mp_j_w[?]	mpʲʷ
mp_w[?]	mpʷ
n_-t_-_j	n̠t̠ʲ
nt_j	ntʲ
mp_j	mpʲ
n_-t_-	n̠t̠
nt	nt
t_-p_j	t̠pʲ
tp_j	tpʲ
t_-p	t̠p
m_j_w[?]	mʲʷ
n`_h\	ɳʱ
l_d_h\	l̪ʱ
v~	ṽ
mbB	mbβ
ns	ns
T_o	θ̞
R\_j	ʀʲ
n\ˈ:	n’ː
n`t`	ɳʈ
Nk_j	ŋkʲ
R_R_j	ɺʲ
t\ˈ_?\	t’ˤ
d\ˈ_?\	d’ˤ
s\ˈ_?\	s’ˤ
z\ˈ_?\	z’ˤ
n\ˈ_?\	n’ˤ
l\ˈ_?\	l’ˤ
d\ˈ	d’
dz\ˈ	dz’
r\ˈ	r’
4\ˈ	ɾ’
n\ˈ	n’
n_d_k	n̪̰
z\ˈ	z’
l\ˈ	l’
e~i~	ẽĩ
o~u~	õũ
Fv	ɱv
n_-Z	n̠ʒ
kp	kp
t_d_k	t̪̰
K_d:	ɬ̪ː
ts_w[?]_h	tsʷʰ
tS_w_w[?]_h	tʃʷʰ
JJ\	ɲɟ
k_k	k̰
t_k	t̰
p_k	p̰
t_-_kS_w_k	t̠̰ʃ̰
t_ks_k	t̰s̰
b_k	b̰
v_h\	vʱ
D_-	ð̠
T_-	θ̠
dZ_h\	dʒʱ
J_k	ɲ̰
J\_k	ɟ̰
Oy	ɔy
{}	æʉ
p\_j	ɸʲ
r_k	r̰
t_kK_k	t̰ɬ̰
M\_k	ɰ̰
l_k	l̰
m_k	m̰
j_k	j̰
w_k	w̰
r`_0	ɽ̥
ts\ˈ_j_h	ts’ʲʰ
p\_w[?]	ɸʷ
t_-s\	t̠ɕ
t_-s\_h	t̠ɕʰ
mb	mb
nd	nd
n_dd_d	n̪d̪
n_-dZ	n̠dʒ
ndz	ndz
n_dt_d	n̪t̪
n`t`s`_h	ɳʈʂʰ
n`t`s`	ɳʈʂ
mp_h	mpʰ
mp	mp
Nk_h	ŋkʰ
Nk	ŋk
n_dt_d_h	n̪t̪ʰ
n_dts_d	n̪ts̪
n_dts_d_h	n̪ts̪ʰ
n_-tS_w	n̠tʃ
n_-tS_w_h	n̠tʃʰ
J\z\	ɟʑ
cs\	cɕ
ɨ_o~	ɨ̞̃
r\_k	ɹ̰
N\q	ɴq
N\q_h	ɴqʰ
n\ˈ_?	n’ˀ
h\~	ɦ̃
l\ˈ~	l’̃
dK\\ˈ	dɮ’
d`_k	ɖ̰
g_k	g̰
g_k_w[?]	g̰ʷ
z_k\ˈ	z̰’
m_0_w[?]	m̥ʷ
d_d_j_h\	d̪ʲʱ
g_j_h\	gʲʱ
r\`_r	ɻ̝
JdZ	ɲdʒ
n_k_j	n̰ʲ
f_?\	fˤ
tS_w_j	tʃʲ
dZ_j	dʒʲ
S_w_G	ʃˠ
Z_G	ʒˠ
h\_j	ɦʲ
i~_?	ĩˀ
e_?	eˀ
e~_?	ẽˀ
a~_?	ãˀ
o~_?	õˀ
mB_j	mβʲ
J_?	ɲˀ
J\_h\	ɟʱ
o}	oʉ
A_k	ɑ̰
_hq	ʰq
_hk_w[?]	ʰkʷ
w_h\	wʱ
J_h\	ɲʱ
u:_-	uː̠
A_?\	ɑˤ
cc_x\ˈ	cç’
p\_o	ɸ̞
L	ʎ
O_O	ɔ̹
t_G	tˠ
d_G	dˠ
d_l	dˡ
d_}	d̚
e^x	e̽
r\_r	ɹ̝
e_A	e̘
e_q	e̙
e_C	ě
3`	ɜ˞
pp\	pɸ
bB	bβ
bv	bv
tT	tθ
ts_d	ts̪
dz_d	dz̪
d_-K\_-	d̠ɮ̠
tK_d	tɬ̪
dD	dð
dK\	dɮ
tK	tɬ
K_-	ɬ̠
K\_-	ɮ̠
R_R_-	ɺ̠
d`z`	ɖʐ
J\j\\	ɟʝ
M\_-	ɰ̠
k_+	k̟
g_+G_+	g̟ɣ̟
gG	gɣ
g_-G_-	g̠ɣ̠
k_+x_+	k̟x̟
k_-x_-	k̠x̠
L\_-	ʟ̠
L\_+	ʟ̟
N_-	ŋ̠
G\R	ɢʁ
A_^	ɑ̯
Q_^	ɒ̯
@_^`	ə̯˞
@\\_^	ɘ̯
3_^	ɜ̯
3_^`	ɜ̯˞
3\_^	ɞ̯
8_^	ɵ̯
ø_^	ø̯
&_^	ɶ̯
9_^	œ̯
}_^	ʉ̯
V_^	ʌ̯
y_^	y̯
Y_^	ʏ̯
{_^	æ̯
3~`	ɜ̃˞
a_^~	ã̯
6_^~	ɐ̯̃
A_^~	ɑ̯̃
Q_^~	ɒ̯̃
O_^~	ɔ̯̃
e_^~	ẽ̯
E_^~	ɛ̯̃
@_^~	ə̯̃
@_^~`	ə̯̃˞
@\\_^~	ɘ̯̃
3_^~	ɜ̯̃
3_^~`	ɜ̯̃˞
3\_^~	ɞ̯̃
7_^~	ɤ̯̃
I_^~	ɪ̯̃
ɨ_^~	ɨ̯̃
M_^~	ɯ̯̃
o_^~	õ̯
8_^~	ɵ̯̃
ø_^~	ø̯̃
&_^~	ɶ̯̃
9_^~	œ̯̃
}_^~	ʉ̯̃
U_^~	ʊ̯̃
V_^~	ʌ̯̃
y_^~	ỹ̯
Y_^~	ʏ̯̃
{_^~	æ̯̃
6_0	ɐ̥
A_0	ɑ̥
Q_0	ɒ̥
O_0	ɔ̥
E_0	ɛ̥
@_0	ə̥
@_0`	ə̥˞
@\\_0	ɘ̥
3_0	ɜ̥
3_0`	ɜ̥˞
3\_0	ɞ̥
7_0	ɤ̥
ɨ_0	ɨ̥
8_0	ɵ̥
ø_0	ø̥
&_0	ɶ̥
9_0	œ̥
}_0	ʉ̥
V_0	ʌ̥
y_0	y̥
Y_0	ʏ̥
{_0	æ̥
R_R_0	ɺ̥
r\`_0	ɻ̥
a_0_^	ḁ̯
6_0_^	ɐ̥̯
A_0_^	ɑ̥̯
Q_0_^	ɒ̥̯
O_0_^	ɔ̥̯
e_0_^	e̥̯
E_0_^	ɛ̥̯
@_0_^	ə̥̯
@_0_^`	ə̥̯˞
@\\_0_^	ɘ̥̯
3_0_^	ɜ̥̯
3_0_^`	ɜ̥̯˞
3\_0_^	ɞ̥̯
7_0_^	ɤ̥̯
i_0_^	i̥̯
I_0_^	ɪ̥̯
ɨ_0_^	ɨ̥̯
M_0_^	ɯ̥̯
o_0_^	o̥̯
8_0_^	ɵ̥̯
ø_0_^	ø̥̯
&_0_^	ɶ̥̯
9_0_^	œ̥̯
u_0_^	u̥̯
}_0_^	ʉ̥̯
U_0_^	ʊ̥̯
V_0_^	ʌ̥̯
y_0_^	y̥̯
Y_0_^	ʏ̥̯
{_0_^	æ̥̯
a_0~	ḁ̃
6_0~	ɐ̥̃
A_0~	ɑ̥̃
Q_0~	ɒ̥̃
O_0~	ɔ̥̃
e_0~	ẽ̥
E_0~	ɛ̥̃
@_0~	ə̥̃
@_0~`	ə̥̃˞
@\\_0~	ɘ̥̃
3_0~	ɜ̥̃
3_0~`	ɜ̥̃˞
3\_0~	ɞ̥̃
7_0~	ɤ̥̃
i_0~	ĩ̥
I_0~	ɪ̥̃
ɨ_0~	ɨ̥̃
M_0~	ɯ̥̃
o_0~	õ̥
8_0~	ɵ̥̃
ø_0~	ø̥̃
&_0~	ɶ̥̃
9_0~	œ̥̃
u_0~	ũ̥
}_0~	ʉ̥̃
U_0~	ʊ̥̃
V_0~	ʌ̥̃
y_0~	ỹ̥
Y_0~	ʏ̥̃
{_0~	æ̥̃
a_0_^~	ḁ̯̃
6_0_^~	ɐ̥̯̃
A_0_^~	ɑ̥̯̃
Q_0_^~	ɒ̥̯̃
O_0_^~	ɔ̥̯̃
e_0_^~	ẽ̥̯
E_0_^~	ɛ̥̯̃
@_0_^~	ə̥̯̃
@_0_^~`	ə̥̯̃˞
@\\_0_^~	ɘ̥̯̃
3_0_^~	ɜ̥̯̃
3_0_^~`	ɜ̥̯̃˞
3\_0_^~	ɞ̥̯̃
7_0_^~	ɤ̥̯̃
i_0_^~	ĩ̥̯
I_0_^~	ɪ̥̯̃
ɨ_0_^~	ɨ̥̯̃
M_0_^~	ɯ̥̯̃
o_0_^~	õ̥̯
8_0_^~	ɵ̥̯̃
ø_0_^~	ø̥̯̃
&_0_^~	ɶ̥̯̃
9_0_^~	œ̥̯̃
u_0_^~	ũ̥̯
}_0_^~	ʉ̥̯̃
U_0_^~	ʊ̥̯̃
V_0_^~	ʌ̥̯̃
y_0_^~	ỹ̥̯
Y_0_^~	ʏ̥̯̃
{_0_^~	æ̥̯̃
b_<_h	ɓʰ
F_h	ɱʰ
d_<_h	ɗʰ
n`_h	ɳʰ
J_h	ɲʰ
g_<_h	ɠʰ
G\\_<_h	ʛʰ
N\_h	ɴʰ
?_h	ʔʰ
m_0_h	m̥ʰ
F_0_h	ɱ̥ʰ
n_0_h	n̥ʰ
